I0714 11:22:51.681766   212 BackendOptimization.cpp:105] Ba = 00.909429 -0.280048 0.0914251
I0714 11:23:17.298698   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 7, Initial cost: 1.280017e+06, Final cost: 5.213948e+05, Termination: CONVERGENCE
I0714 11:23:17.298732   212 BackendOptimization.cpp:105] Ba = 00.503061 00.443296 -0.396661
I0714 11:23:17.298746   212 BackendOptimization.cpp:106] Bg = 00.0378713 -0.0357171 -0.0308655
I0714 11:23:18.881631   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 7, Initial cost: 3.362273e+05, Final cost: 5.216690e+04, Termination: CONVERGENCE
I0714 11:23:18.881649   212 BackendOptimization.cpp:105] Ba = 00.230727 00.455415 0.0687509
I0714 11:23:18.881656   212 BackendOptimization.cpp:106] Bg = -0.00523546 0-0.0406355 0-0.0185977
I0714 11:23:19.677661   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 8, Initial cost: 3.067640e+05, Final cost: 8.151904e+04, Termination: CONVERGENCE
I0714 11:23:19.677678   212 BackendOptimization.cpp:105] Ba = 000.76974 -0.169027 00.301789
I0714 11:23:19.677686   212 BackendOptimization.cpp:106] Bg = -0.0144252 -0.0439373 -0.0171627
I0714 11:23:20.484100   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 9, Initial cost: 4.614808e+05, Final cost: 9.808034e+04, Termination: CONVERGENCE
I0714 11:23:20.484119   212 BackendOptimization.cpp:105] Ba = 00.581578 -0.104516 00.454898
I0714 11:23:20.484129   212 BackendOptimization.cpp:106] Bg = -0.00489185 0-0.0347885 0-0.0276455
I0714 11:23:25.286373   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 7, Initial cost: 1.068492e+06, Final cost: 3.005315e+05, Termination: CONVERGENCE
I0714 11:23:25.286394   212 BackendOptimization.cpp:105] Ba = 000.23937 -0.619519 00.485932
I0714 11:23:25.286404   212 BackendOptimization.cpp:106] Bg = 0-0.017049 -0.0689374 0-0.036655
I0714 11:23:43.705466   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 8, Initial cost: 1.906916e+05, Final cost: 1.021819e+05, Termination: CONVERGENCE
I0714 11:23:43.705482   212 BackendOptimization.cpp:105] Ba = -0.334122 -0.641585 -0.342666
I0714 11:23:43.705489   212 BackendOptimization.cpp:106] Bg = -0.0269922 00.0032851 00.0182496
I0714 11:23:45.288278   212 BackendOptimization.cpp:104] Ceres Solver Report: Iterations: 8, Initial cost: 1.747478e+05, Final cost: 5.170669e+04, Termination: CONVERGENCE
I0714 11:23:45.288318   212 BackendOptimization.cpp:105] Ba = -0.493159 -0.567541 -0.579026
I0714 11:23:45.288331   212 BackendOptimization.cpp:106] Bg = -0.0367579 -0.0244199 00.0430055
